Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,season
1162,Omar El Hilali,ma MAR,DF,Espanyol,es La Liga,20.0,2003.0,36,36,3153,35.0,0,2,2,0,0,0,11,0,0.0,0.0,0.8,0.9,0.06,0.02,35,84,61,2,0,0.0,0.06,0.0,0.0,,30.9,0,0,0,0.0,0.0,0.01,0.0,0.0,1245,1577,78.9,23391,8719,2,0.8,1.4,1.2,8,81,11,6,84,1220,354,61,1,16,57,293,0,0,0,0,1245,111,79,81,24,6,95,67.4,31,53,13,40,46,157,145,2,28,0.8,24,1,1,1,1,0,3,0.09,1992,160,869,935,208,5,1992,29,17,58.6,7,24.1,888,4445,2372,35,21,2,21,7,981,61,11,0,0,52,30,7,57,46,79,0,2,0,132,36,30,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
1163,James Hill,eng ENG,DF,Bournemouth,eng Premier League,22.0,2002.0,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,0.2,0.11,3,16,8,6,0,0.0,1.21,0.0,0.0,,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,159,245,64.9,3098,1094,1,0.3,0.3,0.7,3,20,6,0,16,212,33,3,0,0,10,30,0,0,0,0,159,15,8,6,6,3,11,27.3,8,5,0,5,9,24,31,0,8,1.61,5,2,0,0,0,1,1,0.2,319,19,99,167,54,8,319,2,1,50.0,1,50.0,146,552,295,3,6,0,2,0,179,8,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
1165,Roger Hinojo,es ESP,DF,Espanyol,es La Liga,19.0,2005.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,5,10,50.0,51,3,0,0.0,0.0,0.0,0,0,0,0,0,9,1,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,11,1,3,2,6,0,11,0,0,,0,,8,41,23,1,0,0,0,0,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
1166,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,eng Premier League,19.0,2005.0,26,22,1842,20.5,5,2,7,5,0,0,5,0,2.7,2.7,1.5,4.2,0.34,0.21,19,68,54,18,10,55.6,0.88,0.49,0.28,0.5,12.2,0,0,0,2.7,2.7,0.15,2.3,2.3,870,1046,83.2,13114,3047,2,1.5,1.5,0.5,17,36,9,2,68,927,118,27,0,8,27,75,8,4,1,1,870,27,19,8,10,9,27,40.7,16,10,3,7,16,43,37,1,35,1.71,28,4,0,2,1,0,3,0.15,1199,50,322,560,323,35,1199,11,2,18.2,8,72.7,590,2435,1189,19,20,2,18,3,762,54,5,0,0,18,9,0,27,16,19,0,0,0,63,20,16,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
1167,George Hirst,sct SCO,FW,Ipswich Town,eng Premier League,25.0,1999.0,26,5,661,7.3,3,1,4,3,0,0,3,0,2.1,2.1,0.3,2.5,0.54,0.34,9,13,31,14,7,50.0,1.91,0.95,0.21,0.43,11.3,0,0,0,2.1,2.1,0.15,0.9,0.9,69,122,56.6,785,188,1,0.3,0.3,0.7,4,1,4,0,13,121,0,0,0,0,3,0,0,0,0,0,69,3,3,1,0,2,4,25.0,3,1,1,0,2,5,10,0,9,1.22,7,0,0,1,1,0,3,0.41,188,12,28,61,101,28,188,6,2,33.3,3,50.0,101,529,211,9,2,7,21,16,161,31,3,0,0,13,12,3,3,2,3,0,0,0,12,32,23,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
1174,Mason Holgate,jm JAM,"FW,DF",Everton,eng Premier League,27.0,1996.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2,2,100.0,55,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
1176,Emil Holm,se SWE,DF,Bologna,it Serie A,24.0,2000.0,21,12,1137,12.6,1,1,2,1,0,0,3,0,0.6,0.6,0.7,1.3,0.16,0.1,29,49,43,10,3,30.0,0.79,0.24,0.1,0.33,18.8,0,0,0,0.6,0.6,0.06,0.4,0.4,560,735,76.2,10735,3499,1,0.7,0.9,0.3,10,47,14,8,49,574,161,29,1,11,40,132,0,0,0,0,560,34,21,17,14,3,31,64.5,11,19,4,15,10,44,51,1,28,2.22,22,2,2,1,1,0,2,0.16,909,44,269,384,266,26,909,25,10,40.0,10,40.0,442,2401,1188,29,18,5,26,14,490,43,3,0,0,16,24,1,40,10,21,1,0,0,47,31,20,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
1181,Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,25.0,1999.0,13,11,1085,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,397,525,75.6,10570,7433,0,0.0,0.0,0.0,0,12,0,0,2,445,77,30,0,3,0,0,0,0,0,0,397,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,2,0.17,1,1,0,0,0,0,0,0.0,560,335,538,22,0,0,560,1,1,100.0,0,0.0,340,1488,929,0,0,0,0,0,351,0,1,0,0,1,1,0,0,0,0,0,1,0,14,0,0,,19.0,1.58,54.0,35.0,66.7,2.0,0.0,9.0,1.0,9.1,2.0,1.0,1.0,0.0,19.4,0.34,1.4,0.11,69.0,175.0,39.4,475.0,53.0,31.8,32.5,148.0,9.0,6.1,16.0,1.33,15.6,2024-2025
1185,Harry Howell,eng ENG,FW,Brighton,eng Premier League,15.0,2008.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,8,9,88.9,100,8,0,0.0,0.1,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0,2,50.0,1,1,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,12,1,1,7,4,3,12,0,0,,0,,9,48,8,0,0,1,0,0,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
1188,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,eng Premier League,23.0,2000.0,31,25,2194,24.4,5,2,7,5,0,0,2,0,2.5,2.5,2.7,5.2,0.29,0.21,130,71,189,37,17,45.9,1.52,0.7,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,2.5,2.5,691,843,82.0,10242,2075,2,2.7,2.6,-0.7,44,38,33,11,71,817,23,3,5,6,79,6,5,4,1,0,691,22,14,8,8,6,18,66.7,6,11,0,11,13,35,12,1,94,3.86,74,3,10,3,4,0,11,0.45,1035,16,117,338,605,74,1035,63,37,58.7,18,28.6,641,5345,3401,130,61,47,45,23,784,189,2,0,0,12,25,8,79,13,14,1,0,0,92,3,10,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
