Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,season
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,2000.0,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,3,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,51,12,2,0,0,2,10,0,0,0,0,50,2,2,1,1,0,1,100.0,0,3,1,2,1,3,0,0,2,2.09,2,0,0,0,0,0,0,0.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24.0,2000.0,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.02,0,6,10,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,47,66,71.2,705,190,0,0.0,0.0,0.0,1,2,0,0,6,54,12,1,0,0,5,11,0,0,0,0,47,4,4,2,2,0,5,80.0,1,1,0,1,0,4,3,0,1,0.75,1,0,0,0,0,0,0,0.0,85,1,21,28,36,0,85,4,1,25.0,2,50.0,46,215,103,0,3,0,3,1,49,10,2,0,0,0,2,0,5,0,4,0,0,0,7,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003.0,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.0,0.1,3,2,3,1,0,0.0,1.38,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,21,8,0,0,0,1,8,0,0,0,0,17,3,2,2,1,0,3,100.0,0,1,0,1,1,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20.0,2004.0,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.0,0.06,3,4,1,1,0,0.0,1.02,0.0,0.0,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,45,1,1,0,0,0,0,0,0,0,0,36,4,2,4,0,0,3,66.7,1,2,1,1,1,5,3,0,1,1.02,1,0,0,0,0,0,0,0.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999.0,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0.44,0.09,6,9,26,1,0,0.0,0.44,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,118,136,86.8,1766,368,1,0.2,0.2,0.8,2,4,4,2,9,103,33,1,0,0,7,32,0,0,0,0,118,3,2,2,0,1,1,100.0,0,2,0,2,2,5,0,0,6,2.65,5,0,0,0,1,0,1,0.44,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
11,Abel,es ESP,DF,Osasuna,es La Liga,23.0,2000.0,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.6,0.09,0.07,50,77,92,12,4,33.3,0.52,0.17,0.17,0.5,22.9,0,0,0,0.5,0.5,0.04,1.5,1.5,776,1071,72.5,12899,5046,0,1.0,1.5,-1.0,16,57,18,13,77,847,220,14,3,2,85,206,0,0,0,0,776,61,37,28,25,8,63,61.9,24,29,4,25,18,79,64,2,39,1.69,29,2,5,0,1,2,4,0.17,1322,65,370,605,357,19,1322,35,18,51.4,13,37.1,605,3269,1792,50,44,7,27,18,683,92,3,0,0,25,32,3,85,18,37,0,1,0,106,20,17,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,2002.0,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0.0,0.02,2,6,2,2,0,0.0,0.68,0.0,0.0,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,36,61,59.0,680,267,0,0.0,0.1,0.0,1,7,2,0,6,58,2,2,0,1,0,0,0,0,0,0,36,6,4,3,3,0,1,100.0,0,3,0,3,0,6,5,0,3,1.03,3,0,0,0,0,0,0,0.0,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,1996.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,1,100.0,21,7,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,1999.0,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,0.04,0.04,16,79,4,12,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,719,939,76.6,16039,5771,1,0.3,0.4,0.7,8,67,10,2,79,888,48,40,1,17,5,7,0,0,0,0,719,36,23,24,11,1,34,58.8,14,28,18,10,39,75,146,1,25,0.91,20,0,0,2,1,2,3,0.11,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26.0,1997.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,3,33.3,44,32,0,0.0,0.0,0.0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,1997.0,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,0.46,0.7,8,26,69,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,152,221,68.8,1956,534,4,2.2,1.3,1.8,14,13,10,0,26,203,17,0,5,0,3,0,0,0,0,0,152,17,11,2,10,5,8,75.0,2,13,0,13,2,19,16,0,33,2.51,28,0,0,4,1,0,9,0.68,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20.0,2004.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,4,6,66.7,55,19,0,0.0,0.0,0.0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1988.0,23,20,1710,19.0,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,0.05,0.05,19,62,22,5,1,20.0,0.26,0.05,0.0,0.0,11.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,1200,1297,92.5,22280,6158,1,0.6,1.4,0.4,9,59,8,5,62,1256,39,24,0,2,10,8,0,0,0,0,1200,23,19,16,7,0,17,64.7,6,22,16,6,26,49,81,0,20,1.05,20,0,0,0,0,0,1,0.05,1484,139,648,733,108,20,1484,4,3,75.0,1,25.0,915,4177,2128,19,20,1,7,2,1101,22,0,0,0,11,18,2,10,26,19,0,0,0,62,61,30,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18.0,2006.0,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.0,0.12,0,8,0,2,0,0.0,1.06,0.0,0.0,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,104,124,83.9,2025,705,0,0.0,0.0,0.0,0,6,0,0,8,121,3,2,0,0,0,1,0,0,0,0,104,2,1,2,0,0,2,100.0,0,1,0,1,1,3,2,0,2,1.06,2,0,0,0,0,0,0,0.0,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24.0,2000.0,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0.0,0.29,0,5,5,2,1,50.0,1.34,0.67,0.0,0.0,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,20,27,74.1,334,48,0,0.0,0.0,0.0,0,3,1,0,5,24,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
25,Che Adams,sct SCO,FW,Torino,it Serie A,28.0,1996.0,36,30,2652,29.5,9,3,12,9,0,1,2,0,9.0,8.2,2.0,10.2,0.41,0.37,23,40,153,63,25,39.7,2.14,0.85,0.14,0.36,15.7,0,0,1,9.0,8.2,0.13,0.0,0.8,414,557,74.3,6531,1184,3,2.0,2.9,1.0,26,32,7,0,40,513,43,3,4,5,10,1,0,0,0,0,414,12,6,2,4,6,7,14.3,6,13,6,7,2,14,18,0,63,2.14,49,1,0,8,5,0,5,0.17,802,19,53,387,371,104,801,37,11,29.7,22,59.5,509,2066,702,23,18,9,63,34,630,153,2,0,0,29,40,23,10,2,6,0,0,0,50,36,62,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,1999.0,28,21,1965,21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,0.14,0.12,14,76,10,9,2,22.2,0.41,0.09,0.0,0.0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,902,1069,84.4,14322,3525,3,1.0,0.8,2.0,18,67,4,1,76,1025,38,34,2,1,3,4,0,0,0,0,902,83,50,26,49,8,72,54.2,33,33,10,23,32,115,42,0,41,1.88,35,0,0,1,1,4,4,0.18,1337,62,349,779,224,18,1337,18,4,22.2,10,55.6,663,3337,1447,14,22,1,28,12,757,10,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,1997.0,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,0.13,0.07,5,42,1,13,2,15.4,0.83,0.13,0.08,0.5,12.5,0,0,0,0.9,0.9,0.07,0.1,0.1,1079,1184,91.1,19805,7144,1,0.2,0.2,0.8,1,62,1,0,42,1142,39,23,2,3,0,4,0,0,0,0,1079,17,13,11,6,0,12,66.7,4,9,7,2,11,28,80,0,15,0.96,8,0,0,6,0,1,1,0.06,1330,175,630,674,27,14,1330,6,4,66.7,1,16.7,777,3207,1809,5,2,0,4,0,1000,1,4,0,0,8,9,1,0,11,13,0,0,0,41,42,28,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22.0,2002.0,29,12,1097,12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,0.33,0.4,50,18,136,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,290,382,75.9,4148,820,2,2.5,2.8,-0.5,16,5,17,6,18,372,9,0,2,0,41,8,1,0,0,0,290,23,14,10,8,5,26,38.5,16,12,0,12,8,31,6,2,47,3.86,33,0,6,8,0,0,7,0.57,548,10,66,174,315,76,548,50,21,42.0,27,54.0,366,2514,1300,50,21,27,39,12,388,136,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000.0,25,14,1219,13.5,4,6,10,4,0,0,3,1,1.0,1.0,2.4,3.4,0.74,0.25,24,103,30,14,5,35.7,1.03,0.37,0.29,0.8,21.3,2,0,0,1.0,1.0,0.07,3.0,3.0,718,890,80.7,14050,4602,6,2.4,2.2,3.6,23,84,16,4,103,795,90,44,3,14,63,6,39,17,19,0,718,32,19,11,16,5,39,43.6,22,13,1,12,6,38,19,0,50,3.64,35,10,2,2,1,0,10,0.73,1021,31,177,607,248,11,1021,32,12,37.5,16,50.0,618,3613,1680,24,28,3,19,8,690,30,3,1,1,9,20,0,63,6,19,0,0,0,77,5,16,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
34,Adrián,es ESP,GK,Betis,es La Liga,37.0,1987.0,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,474,619,76.6,12206,8309,0,0.0,0.0,0.0,0,4,0,0,0,453,163,54,0,0,0,0,0,0,0,0,474,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3,0,0.0,0,0,0,0,0,0,0,0.0,658,568,657,1,0,0,658,0,0,,0,,390,1788,1161,0,0,0,1,0,299,0,3,0,0,0,4,0,0,0,0,0,0,0,20,2,1,66.7,27.0,1.42,76.0,49.0,65.8,10.0,5.0,4.0,3.0,15.8,1.0,1.0,0.0,0.0,26.0,0.33,-1.0,-0.05,58.0,178.0,32.6,507.0,91.0,28.0,31.2,257.0,14.0,5.4,16.0,0.84,11.7,2024-2025
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18.0,2006.0,6,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0,1,3,1,1,100.0,2.14,2.14,0.0,0.0,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,15,20,75.0,255,52,0,0.0,0.0,0.0,0,1,1,0,1,20,0,0,0,0,0,0,0,0,0,0,15,2,2,0,1,1,1,0.0,1,0,0,0,0,2,0,0,2,4.29,1,0,0,1,0,0,0,0.0,24,0,5,8,11,2,24,1,0,0.0,1,100.0,14,40,10,0,1,0,1,1,20,3,0,0,0,1,1,0,0,0,2,0,0,0,3,2,3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27.0,1997.0,14,9,724,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,0.0,0.09,8,33,17,10,5,50.0,1.24,0.62,0.0,0.0,22.0,1,0,0,0.4,0.4,0.04,-0.4,-0.4,366,419,87.4,6537,1452,0,0.4,0.6,-0.4,8,41,5,2,33,393,24,13,1,5,14,0,8,2,4,0,366,18,13,8,7,3,14,71.4,4,4,1,3,7,25,6,0,18,2.23,15,2,0,0,0,1,0,0.0,485,11,74,302,114,10,485,6,3,50.0,2,33.3,291,1201,508,8,12,2,5,7,346,17,2,0,0,16,16,0,14,7,13,0,0,0,35,5,9,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27.0,1997.0,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,0.06,0.07,6,31,2,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2,855,1001,85.4,17344,6203,0,0.2,0.3,-0.2,4,40,1,0,31,955,43,28,1,11,2,0,0,0,0,0,855,30,19,21,9,0,20,65.0,7,19,13,6,12,42,90,0,17,1.09,15,2,0,0,0,0,3,0.19,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2,3,0,0,7,4,1,2,12,19,0,0,0,83,26,20,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18.0,2005.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.79,2,0,1,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,2,3,66.7,32,0,0,0.0,0.0,0.0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,2,1,0,2,0,0,,0,0,0,0,0,2,0,0,1,15.0,1,0,0,0,0,0,0,0.0,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23.0,2000.0,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,281,411,68.4,7681,5777,0,0.0,0.0,0.0,0,1,0,0,0,305,102,36,0,0,0,0,0,0,0,0,281,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,3,0.22,3,0,0,0,0,0,0,0.0,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0,9.0,0.67,34.0,24.0,76.5,9.0,4.0,1.0,5.0,35.7,2.0,1.0,1.0,0.0,10.5,0.27,1.5,0.11,57.0,178.0,32.0,341.0,51.0,37.5,33.9,143.0,20.0,14.0,17.0,1.27,14.2,2024-2025
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,2002.0,35,24,2114,23.5,1,3,4,1,0,0,5,1,0.9,0.9,2.5,3.3,0.17,0.14,29,135,23,10,2,20.0,0.43,0.09,0.1,0.5,15.0,0,0,0,0.9,0.9,0.09,0.1,0.1,1007,1236,81.5,15958,5460,3,2.5,1.6,0.5,27,126,19,3,135,1190,38,32,6,9,18,6,0,0,0,0,1007,70,32,23,37,10,39,69.2,12,30,11,19,41,111,42,0,60,2.55,57,0,1,1,0,1,5,0.21,1481,65,386,867,248,19,1481,30,22,73.3,7,23.3,689,3227,1597,29,23,2,26,13,928,23,5,1,0,49,6,2,18,41,32,0,1,0,136,42,40,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28.0,1996.0,16,4,443,4.9,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.2,0.2,0.24,15,37,4,10,1,10.0,2.03,0.2,0.0,0.0,23.0,1,0,0,0.6,0.6,0.06,-0.6,-0.6,193,248,77.8,3748,1187,1,0.6,0.4,0.4,4,31,8,3,37,230,17,10,1,3,12,3,3,1,1,0,193,5,2,3,2,0,9,33.3,6,7,1,6,4,9,5,1,16,3.25,13,1,1,1,0,0,1,0.2,303,7,68,161,78,6,303,8,5,62.5,2,25.0,175,1443,753,15,10,4,9,4,189,4,3,0,0,5,8,0,12,4,2,0,0,0,37,3,2,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21.0,2002.0,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,1,100.0,34,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28.0,1996.0,21,21,1760,19.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,0.0,0.13,26,75,1,15,5,33.3,0.77,0.26,0.0,0.0,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4,1213,1389,87.3,23636,8366,0,0.1,0.3,-0.1,5,87,3,1,75,1330,53,38,0,34,2,3,0,0,0,0,1213,30,24,17,12,1,18,66.7,6,21,15,6,13,43,91,0,16,0.82,13,1,0,2,0,0,1,0.05,1594,132,729,815,53,16,1594,10,5,50.0,2,20.0,1019,6113,3798,26,18,0,7,3,1138,1,5,0,0,11,19,0,2,13,24,0,1,0,73,61,32,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16.0,2008.0,6,3,270,3.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.0,0.21,3,3,7,3,1,33.3,1.0,0.33,0.0,0.0,10.5,0,0,0,0.5,0.5,0.17,-0.5,-0.5,51,76,67.1,868,299,0,0.1,0.1,-0.1,2,0,0,0,3,64,12,1,0,0,4,10,1,1,0,0,51,7,5,2,3,2,10,70.0,3,4,0,4,1,8,9,0,5,1.67,3,0,0,0,1,1,0,0.0,106,8,27,43,38,7,106,1,0,0.0,0,0.0,52,282,119,3,1,0,7,2,50,7,0,0,0,2,8,0,4,1,5,0,0,0,14,5,3,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28.0,1995.0,8,6,583,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,1,14,0,1,0,0.0,0.15,0.0,0.0,,10.3,0,0,0,0.0,0.0,0.04,0.0,0.0,337,378,89.2,7044,2518,0,0.0,0.1,0.0,0,9,2,0,14,363,15,9,0,2,0,1,0,0,0,0,337,5,5,3,2,0,3,66.7,1,8,4,4,5,10,26,1,1,0.15,1,0,0,0,0,0,0,0.0,431,61,265,168,2,1,431,1,1,100.0,0,0.0,259,1248,678,1,0,0,0,1,320,0,0,0,0,4,2,0,0,5,5,0,0,0,25,9,8,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28.0,1995.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,6,7,85.7,126,81,0,0.0,0.0,0.0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-2025
