Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
20/10/2024,Ath Madrid,Leganes,3,1,H,24,5,9,2
20/10/2024,Villarreal,Getafe,1,1,D,10,21,4,4
20/10/2024,Barcelona,Sevilla,5,1,H,21,7,9,1
21/10/2024,Valencia,Las Palmas,2,3,A,14,11,7,6
25/10/2024,Espanol,Sevilla,0,2,A,16,6,1,3
26/10/2024,Valladolid,Villarreal,1,2,A,7,21,3,9
26/10/2024,Vallecano,Alaves,1,0,H,16,15,4,7
26/10/2024,Las Palmas,Girona,1,0,H,12,8,3,3
26/10/2024,Real Madrid,Barcelona,0,4,A,9,15,4,7
27/10/2024,Leganes,Celta,3,0,H,7,18,4,5
27/10/2024,Getafe,Valencia,1,1,D,15,2,4,1
27/10/2024,Betis,Ath Madrid,1,0,H,24,10,3,3
27/10/2024,Sociedad,Osasuna,0,2,A,19,10,9,4
28/10/2024,Mallorca,Ath Bilbao,0,0,D,4,20,1,1
01/11/2024,Alaves,Mallorca,1,0,H,13,7,3,2
02/11/2024,Osasuna,Valladolid,1,0,H,20,7,4,4
02/11/2024,Girona,Leganes,4,3,H,15,8,6,5
03/11/2024,Ath Madrid,Las Palmas,2,0,H,15,1,3,1
03/11/2024,Barcelona,Espanol,3,1,H,14,10,9,3
03/11/2024,Sevilla,Sociedad,0,2,A,8,9,0,3
03/11/2024,Ath Bilbao,Betis,1,1,D,17,7,8,4
04/11/2024,Celta,Getafe,1,0,H,10,10,3,2
08/11/2024,Vallecano,Las Palmas,1,3,A,35,11,7,3
09/11/2024,Real Madrid,Osasuna,4,0,H,18,2,8,0
09/11/2024,Villarreal,Alaves,3,0,H,13,9,3,3
09/11/2024,Leganes,Sevilla,1,0,H,8,13,4,2
10/11/2024,Betis,Celta,2,2,D,19,3,6,2
10/11/2024,Mallorca,Ath Madrid,0,1,A,12,9,6,2
10/11/2024,Getafe,Girona,0,1,A,8,3,0,2
10/11/2024,Valladolid,Ath Bilbao,1,1,D,6,17,3,1
10/11/2024,Sociedad,Barcelona,1,0,H,14,11,6,0
22/11/2024,Getafe,Valladolid,2,0,H,12,6,5,3
23/11/2024,Valencia,Betis,4,2,H,11,7,5,3
23/11/2024,Ath Madrid,Alaves,2,1,H,11,4,8,1
23/11/2024,Girona,Espanol,4,1,H,12,9,5,1
23/11/2024,Las Palmas,Mallorca,2,3,A,14,10,3,3
23/11/2024,Celta,Barcelona,2,2,D,15,9,8,4
24/11/2024,Osasuna,Villarreal,2,2,D,4,17,3,7
24/11/2024,Sevilla,Vallecano,1,0,H,11,9,3,1
24/11/2024,Leganes,Real Madrid,0,3,A,4,16,0,9
24/11/2024,Ath Bilbao,Sociedad,1,0,H,12,6,4,1
29/11/2024,Mallorca,Valencia,2,1,H,9,7,3,1
30/11/2024,Barcelona,Las Palmas,1,2,A,27,5,8,3
30/11/2024,Alaves,Leganes,1,1,D,18,6,7,3
30/11/2024,Espanol,Celta,3,1,H,9,16,5,2
30/11/2024,Valladolid,Ath Madrid,0,5,A,9,13,1,9
01/12/2024,Villarreal,Girona,2,2,D,13,13,4,6
01/12/2024,Real Madrid,Getafe,2,0,H,13,8,4,3
01/12/2024,Vallecano,Ath Bilbao,1,2,A,7,12,4,7
01/12/2024,Sociedad,Betis,2,0,H,2,7,1,2
02/12/2024,Sevilla,Osasuna,1,1,D,12,7,5,3
03/12/2024,Mallorca,Barcelona,1,5,A,6,20,1,9
04/12/2024,Ath Bilbao,Real Madrid,2,1,H,9,10,3,5
06/12/2024,Celta,Mallorca,2,0,H,12,9,5,4
07/12/2024,Las Palmas,Valladolid,2,1,H,11,9,5,2
